"campaign_id","total_impressions","total_clicks","total_spend","total_conversions","ctr","cpa"
"CMP016","13686317849","375883156","393677129.859995","20410131","0.027464","19.288320"
"CMP049","13678441909","375790166","393822976.899998","20408613","0.027473","19.296901"
"CMP032","13707961325","376277379","395003523.040004","20469062","0.027450","19.297588"
"CMP034","13663387190","375490759","394029600.320003","20403716","0.027482","19.311659"
"CMP040","13707493063","376364561","395064372.660004","20444877","0.027457","19.323392"
"CMP004","13705584584","376906722","395992597.399994","20491770","0.027500","19.324470"
"CMP047","13704337167","376533784","395185526.770002","20447393","0.027476","19.326939"
"CMP045","13689842314","376256850","394756303.729989","20424317","0.027484","19.327760"
"CMP022","13703365735","377109904","395899684.640001","20480486","0.027520","19.330581"
"CMP024","13665607452","375614418","394482754.559996","20406008","0.027486","19.331697"
